#Time [sec] 	Acceleration [g]
0.0000000000    -0.0023030507
0.0200000000    -0.0033309029
0.0400000000    -0.0009177480
0.0600000000    0.0005892949
0.0800000000    0.0008353323
0.1000000000    -0.0016329510
0.1200000000    0.0010027014
0.1400000000    0.0033875283
0.1600000000    0.0043274549
0.1800000000    0.0016881652
0.2000000000    0.0012168111
0.2200000000    0.0013174553
0.2400000000    0.0034964353
0.2600000000    -0.0017231034
0.2800000000    -0.0033146423
0.3000000000    -0.0025645463
0.3200000000    -0.0015764868
0.3400000000    -0.0008423314
0.3600000000    -0.0015444708
0.3800000000    -0.0020153355
0.4000000000    0.0002735584
0.4200000000    0.0003689655
0.4400000000    -0.0013562553
0.4600000000    -0.0011761242
0.4800000000    0.0007372930
0.5000000000    0.0013246009
0.5200000000    -0.0009688254
0.5400000000    -0.0037421589
0.5600000000    -0.0038700846
0.5800000000    -0.0016613992
0.6000000000    0.0017539713
0.6200000000    0.0015831735
0.6400000000    0.0015938742
0.6600000000    0.0019629025
0.6800000000    0.0024243324
0.7000000000    0.0020269919
0.7200000000    0.0016137093
0.7400000000    0.0011776564
0.7600000000    0.0020950001
0.7800000000    0.0032861115
0.8000000000    0.0027510888
0.8200000000    0.0014609957
0.8400000000    0.0003411588
0.8600000000    0.0032965566
0.8800000000    0.0025578014
0.9000000000    0.0006328125
0.9200000000    -0.0011570355
0.9400000000    -0.0006409959
0.9600000000    -0.0020246760
0.9800000000    -0.0008160594
1.0000000000    0.0003221871
1.0200000000    0.0003568557
1.0400000000    0.0006525715
1.0600000000    0.0013741863
1.0800000000    0.0008954171
1.1000000000    0.0012777503
1.1200000000    -0.0005070620
1.1400000000    -0.0022686233
1.1600000000    -0.0016782277
1.1800000000    -0.0015518931
1.2000000000    -0.0017524011
1.2200000000    -0.0024187327
1.2400000000    0.0002449206
1.2600000000    0.0032449479
1.2800000000    0.0011189883
1.3000000000    -0.0007432826
1.3200000000    -0.0004125592
1.3400000000    -0.0019063492
1.3600000000    -0.0017229010
1.3800000000    0.0007118442
1.4000000000    0.0003254457
1.4200000000    -0.0001463115
1.4400000000    0.0000788052
1.4600000000    0.0016391660
1.4800000000    0.0018062909
1.5000000000    0.0003141663
1.5200000000    -0.0001622142
1.5400000000    0.0023685944
1.5600000000    0.0040178910
1.5800000000    0.0013108652
1.6000000000    0.0012533193
1.6200000000    0.0033005875
1.6400000000    0.0030703640
1.6600000000    0.0002236753
1.6800000000    0.0010032951
1.7000000000    0.0024414786
1.7200000000    0.0030053362
1.7400000000    0.0026958552
1.7600000000    0.0028254215
1.7800000000    0.0013630171
1.8000000000    0.0014249270
1.8200000000    0.0032647801
1.8400000000    0.0050786341
1.8600000000    0.0036544068
1.8800000000    -0.0001263615
1.9000000000    -0.0012136286
1.9200000000    -0.0010056272
1.9400000000    -0.0016292249
1.9600000000    -0.0043855196
1.9800000000    -0.0063651659
2.0000000000    -0.0046454252
2.0200000000    -0.0033183899
2.0400000000    -0.0034037476
2.0600000000    -0.0029912788
2.0800000000    -0.0044638828
2.1000000000    -0.0033875323
2.1200000000    -0.0022163906
2.1400000000    -0.0009441614
2.1600000000    -0.0002537591
2.1800000000    0.0000389522
2.2000000000    -0.0023736782
2.2200000000    -0.0023052435
2.2400000000    -0.0025886969
2.2600000000    -0.0002986367
2.2800000000    0.0012896332
2.3000000000    0.0004530673
2.3200000000    -0.0012521942
2.3400000000    -0.0029184991
2.3600000000    -0.0016853790
2.3800000000    0.0016950522
2.4000000000    0.0020423094
2.4200000000    -0.0002699806
2.4400000000    -0.0003284800
2.4600000000    0.0007951566
2.4800000000    0.0000196815
2.5000000000    -0.0033963543
2.5200000000    -0.0045582492
2.5400000000    -0.0032032777
2.5600000000    0.0019933913
2.5800000000    0.0031251237
2.6000000000    -0.0015853541
2.6200000000    -0.0033510665
2.6400000000    -0.0003804883
2.6600000000    0.0035651148
2.6800000000    0.0030468772
2.7000000000    0.0015699232
2.7200000000    0.0046214440
2.7400000000    0.0031964897
2.7600000000    0.0013159465
2.7800000000    0.0020170329
2.8000000000    0.0026232791
2.8200000000    0.0027884187
2.8400000000    0.0046429158
2.8600000000    0.0033076684
2.8800000000    -0.0012103348
2.9000000000    -0.0042279064
2.9200000000    -0.0028918251
2.9400000000    -0.0030814912
2.9600000000    -0.0053789307
2.9800000000    -0.0042871238
3.0000000000    -0.0003370321
3.0200000000    0.0020955526
3.0400000000    0.0015959815
3.0600000000    0.0032249006
3.0800000000    0.0045193641
3.1000000000    0.0046026848
3.1200000000    0.0041303054
3.1400000000    0.0025717148
3.1600000000    0.0008081826
3.1800000000    0.0006172151
3.2000000000    -0.0024355307
3.2200000000    -0.0044645843
3.2400000000    -0.0044521195
3.2600000000    -0.0030798068
3.2800000000    0.0008506114
3.3000000000    0.0008099245
3.3200000000    -0.0023918091
3.3400000000    -0.0033963967
3.3600000000    -0.0017140261
3.3800000000    -0.0016660756
3.4000000000    -0.0038685736
3.4200000000    -0.0038757827
3.4400000000    -0.0023241484
3.4600000000    -0.0002877159
3.4800000000    -0.0005980437
3.5000000000    -0.0010450906
3.5200000000    -0.0025761118
3.5400000000    -0.0019740915
3.5600000000    -0.0005780952
3.5800000000    -0.0014413947
3.6000000000    -0.0022250138
3.6200000000    -0.0004919664
3.6400000000    0.0030220117
3.6600000000    0.0052826556
3.6800000000    0.0026626028
3.7000000000    0.0022496997
3.7200000000    0.0002252757
3.7400000000    -0.0033191733
3.7600000000    -0.0042317473
3.7800000000    -0.0050503391
3.8000000000    -0.0019135623
3.8200000000    0.0005459747
3.8400000000    -0.0003777861
3.8600000000    0.0000712852
3.8800000000    -0.0008123617
3.9000000000    -0.0018104704
3.9200000000    0.0009490890
3.9400000000    -0.0006756642
3.9600000000    -0.0016491914
3.9800000000    -0.0042859840
4.0000000000    -0.0044864320
4.0200000000    -0.0023150715
4.0400000000    -0.0019593696
4.0600000000    0.0000984303
4.0800000000    0.0015576464
4.1000000000    0.0025309084
4.1200000000    0.0048968702
4.1400000000    0.0044466666
4.1600000000    0.0020775194
4.1800000000    0.0002465084
4.2000000000    0.0024005314
4.2200000000    0.0059973510
4.2400000000    0.0066011387
4.2600000000    0.0055773177
4.2800000000    0.0034870743
4.3000000000    0.0016879304
4.3200000000    0.0047755081
4.3400000000    0.0043437988
4.3600000000    0.0003672922
4.3800000000    -0.0001559284
4.4000000000    0.0001128854
4.4200000000    0.0027503704
4.4400000000    0.0008817478
4.4600000000    -0.0027345795
4.4800000000    -0.0049234010
4.5000000000    -0.0019661059
4.5200000000    -0.0032578823
4.5400000000    -0.0034588257
4.5600000000    -0.0043845819
4.5800000000    -0.0060765808
4.6000000000    -0.0050747019
4.6200000000    -0.0034294656
4.6400000000    -0.0023707696
4.6600000000    -0.0045727804
4.6800000000    -0.0039735876
4.7000000000    -0.0034198814
4.7200000000    -0.0017087682
4.7400000000    0.0012191949
4.7600000000    0.0020257918
4.7800000000    0.0000496077
4.8000000000    0.0002972050
4.8200000000    0.0010195823
4.8400000000    -0.0000504384
4.8600000000    -0.0004612845
4.8800000000    0.0031452730
4.9000000000    0.0047739763
4.9200000000    0.0037162226
4.9400000000    -0.0006879535
4.9600000000    -0.0017146332
4.9800000000    -0.0032386916
5.0000000000    -0.0015058169
5.0200000000    -0.0032184594
5.0400000000    -0.0040017543
5.0600000000    0.0014133672
5.0800000000    0.0043439635
5.1000000000    0.0011916143
5.1200000000    -0.0027171730
5.1400000000    -0.0050439270
5.1600000000    -0.0035025167
5.1800000000    -0.0018670649
5.2000000000    -0.0014934055
5.2200000000    -0.0025536298
5.2400000000    -0.0032206949
5.2600000000    -0.0010780971
5.2800000000    0.0031179663
5.3000000000    0.0052005314
5.3200000000    0.0043508061
5.3400000000    0.0052896187
5.3600000000    0.0056879432
5.3800000000    0.0010882579
5.4000000000    -0.0036616837
5.4200000000    -0.0051011836
