#Time [sec] 	Acceleration [g]
0.0000000000    0.0002548175
0.0200000000    0.0001861253
0.0400000000    -0.0003816780
0.0600000000    -0.0035820894
0.0800000000    -0.0040812000
0.1000000000    -0.0014803544
0.1200000000    0.0017579921
0.1400000000    0.0024936722
0.1600000000    0.0024612821
0.1800000000    0.0010438108
0.2000000000    0.0009538163
0.2200000000    -0.0007984135
0.2400000000    -0.0009480594
0.2600000000    -0.0024195419
0.2800000000    -0.0017167247
0.3000000000    -0.0028546757
0.3200000000    -0.0031502792
0.3400000000    -0.0043550398
0.3600000000    -0.0051216451
0.3800000000    -0.0031404074
0.4000000000    0.0003010872
0.4200000000    -0.0010902029
0.4400000000    -0.0008095572
0.4600000000    -0.0006278788
0.4800000000    0.0018975825
0.5000000000    0.0041683056
0.5200000000    0.0045878710
0.5400000000    0.0018709924
0.5600000000    0.0038016962
0.5800000000    0.0054306307
0.6000000000    0.0050205734
0.6200000000    0.0041043752
0.6400000000    0.0024378276
0.6600000000    0.0007266383
0.6800000000    0.0004650831
0.7000000000    0.0013175943
0.7200000000    -0.0001481137
0.7400000000    0.0022069848
0.7600000000    0.0029879060
0.7800000000    0.0032571521
0.8000000000    0.0010801685
0.8200000000    -0.0004882443
0.8400000000    -0.0022522364
0.8600000000    -0.0016110473
0.8800000000    0.0012692068
0.9000000000    0.0030297722
0.9200000000    0.0044179904
0.9400000000    0.0027998636
0.9600000000    0.0005400997
0.9800000000    0.0001822385
1.0000000000    -0.0032166773
1.0200000000    -0.0034874793
1.0400000000    -0.0065592980
1.0600000000    -0.0056354897
1.0800000000    -0.0038920026
1.1000000000    -0.0052795610
1.1200000000    -0.0070232965
1.1400000000    -0.0060520410
1.1600000000    -0.0044279383
1.1800000000    -0.0018268512
1.2000000000    0.0007318082
1.2200000000    0.0010027085
1.2400000000    0.0002033552
1.2600000000    0.0000753182
1.2800000000    -0.0018765641
1.3000000000    0.0009044161
1.3200000000    0.0013383890
1.3400000000    0.0011704980
1.3600000000    0.0023357850
1.3800000000    0.0031071604
1.4000000000    0.0013781410
1.4200000000    0.0002523935
1.4400000000    0.0017588570
1.4600000000    0.0012388027
1.4800000000    0.0030648297
1.5000000000    0.0025754595
1.5200000000    0.0043463498
1.5400000000    0.0053608888
1.5600000000    0.0024002345
1.5800000000    0.0011101192
