# frequency[Hz] PSA[g]
1.000000000000000021e-02 8.427481643685360234e-05
2.000000000000000042e-02 1.134018362126121933e-03
4.000000000000000083e-02 8.487571157221904944e-03
5.999999999999999778e-02 2.223340500239548087e-02
8.000000000000000167e-02 4.066537819105844886e-02
1.000000000000000056e-01 6.240733553562164554e-02
1.064785977823349272e-01 6.999038391131209846e-02
1.133769178569225822e-01 7.830430763430527852e-02
1.207221523428808757e-01 8.739873741658149564e-02
1.285432550273537533e-01 9.732488575749173587e-02
1.368710554968970428e-01 1.081354837474420155e-01
1.457383806629773959e-01 1.198847118157948671e-01
1.551801841606198773e-01 1.326281240716280507e-01
1.652336841302730619e-01 1.464225656387038443e-01
1.759385099260072083e-01 1.613260820880498547e-01
1.873368583283466227e-01 1.773978197189767791e-01
1.994736598775028180e-01 1.946979150281789861e-01
2.123967559826689944e-01 2.132873712327456595e-01
2.261570875055135266e-01 2.332279191725364909e-01
2.408088955612389948e-01 2.545818593067528668e-01
2.564099353287346283e-01 2.774118808354976706e-01
2.730217037126284607e-01 3.017808532172776004e-01
2.907096817546478418e-01 3.277515845167294217e-01
3.095435927498373374e-01 3.553865401041778060e-01
3.295976770850881921e-01 3.847475142434983453e-01
3.509509848833501366e-01 4.158952460545533580e-01
3.736876876070853726e-01 4.488889702334856735e-01
3.978974098492567002e-01 4.837858917775593737e-01
4.236755826197187713e-01 5.206405728187144533e-01
4.511238195196143885e-01 5.595042185604626184e-01
4.803503172865967730e-01 6.004238482888026862e-01
5.114702822897650991e-01 6.434413365594422451e-01
5.446063846554920485e-01 6.885923090412383596e-01
5.798892418142369554e-01 7.359048772347880352e-01
6.174579333744130150e-01 7.853981965293728162e-01
6.574605493528588029e-01 8.370808329875454312e-01
7.000547739229601163e-01 8.909489260667468047e-01
7.454085069814627706e-01 9.469841374511726029e-01
7.937005259840997917e-01 1.005151380561714269e+00
8.451211906588861345e-01 1.065396331457400425e+00
8.998731933749553047e-01 1.127642730083061151e+00
9.581723581247717503e-01 1.191789491508060239e+00
1.020248491269189595e+00 1.257707660276634609e+00
1.086346287398860522e+00 1.325237257534949142e+00
1.156726293882760714e+00 1.394184090393270736e+00
1.231665937905934705e+00 1.464316616033145779e+00
1.311460620044883063e+00 1.535362979136217776e+00
1.396424878691306271e+00 1.607008369699106876e+00
1.486893629914175063e+00 1.678892878154314428e+00
1.583223487647473782e+00 1.750610054316325881e+00
1.685794169407608400e+00 1.821706403722499701e+00
1.795009993081581712e+00 1.891682076414527014e+00
1.911301470686054937e+00 1.959993015348854284e+00
2.035127005379656406e+00 2.026054830036193355e+00
2.166974698417882372e+00 2.089248640888979658e+00
2.307364273173341918e+00 2.148929096297945485e+00
2.456849123805539215e+00 2.204434693458696248e+00
2.616018496655719616e+00 2.255100432607919370e+00
2.785499812965527955e+00 2.300272702116612944e+00
2.965961142075256962e+00 2.339326131658238772e+00
3.158113834850659885e+00 2.371681969472081875e+00
3.362715327718906355e+00 2.396827349413922281e+00
3.580572128366741325e+00 2.414334630656174152e+00
3.812542994870010915e+00 2.423879838178398582e+00
4.059542320786223790e+00 2.425259128381527240e+00
4.322543739553629472e+00 2.418402173490031615e+00
4.602583962404807494e+00 2.403381418974656736e+00
4.900766864923267185e+00 2.380416330173192652e+00
5.218267838351592580e+00 2.349872006378288525e+00
5.556338422803334787e+00 2.312251888159063018e+00
5.916311240642093239e+00 2.268184688230381330e+00
6.299605249474366175e+00 2.218406098208469235e+00
6.707731335462665534e+00 2.163736217175661114e+00
7.142298269006933431e+00 2.105053967536770987e+00
7.605019046270565575e+00 2.043269971228985682e+00
8.097717641548397793e+00 1.979299431020790534e+00
8.622336197093494192e+00 1.914036491597163714e+00
9.180942678743857499e+00 1.848331356516455859e+00
9.775739027526396896e+00 1.782971139392384385e+00
1.040906983937057539e+01 1.718665071114634513e+00
1.108343160714572839e+01 1.656034313731717056e+00
1.180148256145287711e+01 1.595606286758068260e+00
1.256605314896180481e+01 1.537813125293976402e+00
1.338015718959746891e+01 1.482993681466020730e+00
1.424700375655567086e+01 1.431398358391032799e+00
1.517000982597705772e+01 1.383196024775108945e+00
1.615281374614279386e+01 1.338482285550135931e+00
1.719928957928508950e+01 1.297288461928501224e+00
1.831356237254601282e+01 1.259590743807254887e+00
1.950002441828029731e+01 1.225319100786803617e+00
2.076335256779779215e+01 1.194365660520170680e+00
2.210852666679351586e+01 1.166592373989356446e+00
2.354084918513532187e+01 1.141837879990909244e+00
2.506596611838630295e+01 1.119923552600917249e+00
2.668988924345289604e+01 1.100658765571160602e+00
2.841901981608688033e+01 1.083845438441439768e+00
3.026017380365323461e+01 1.069281943865364237e+00
3.222060875262739899e+01 1.056766458036024758e+00
3.430805239672992712e+01 1.046099829970664752e+00
3.653073311846677029e+01 1.037088034179975304e+00
3.889741238415043512e+01 1.029544257682903918e+00
4.141741928025567177e+01 1.023290658496981864e+00
4.410068728724671416e+01 1.018159820058923026e+00
4.695779343583272691e+01 1.013995915447516882e+00
5.000000000000000000e+01 1.010655587422821799e+00
5.500000000000000000e+01 1.006870197847627768e+00
6.000000000000000000e+01 1.004474952086978234e+00
7.000000000000000000e+01 1.001948523472828256e+00
8.000000000000000000e+01 1.000873489038942132e+00
9.000000000000000000e+01 1.000401207654171065e+00
1.000000000000000000e+02 1.000188165641932470e+00
